,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
41,48.65189,38.37152,295.18,0.66,0.73,2022-06-01,52,1,nominal,2.0NRT,280.24,1.69,N
42,48.47287,34.96776,296.05,0.49,0.65,2022-06-01,52,1,nominal,2.0NRT,281.89,0.69,N
43,48.53209,34.64537,303.28,0.47,0.64,2022-06-01,52,1,nominal,2.0NRT,266.85,1.15,N
44,50.54389,26.25688,300.81,0.57,0.43,2022-06-01,52,1,nominal,2.0NRT,282.65,0.98,N
45,47.62664,34.32597,300.62,0.49,0.65,2022-06-01,54,1,nominal,2.0NRT,278.31,0.7,N
46,48.09455,32.72836,295.71,0.41,0.6,2022-06-01,54,1,nominal,2.0NRT,284.93,0.5,N
47,48.09303,32.73332,295.73,0.41,0.6,2022-06-01,54,1,nominal,2.0NRT,285.1,0.5,N
48,47.87095,33.44374,297.98,0.44,0.63,2022-06-01,54,1,nominal,2.0NRT,283.13,1.22,N
49,47.86924,33.44914,298.06,0.44,0.63,2022-06-01,54,1,nominal,2.0NRT,283.53,1.04,N
50,47.87939,33.39693,295.71,0.44,0.62,2022-06-01,54,1,nominal,2.0NRT,281.52,0.36,N
1381,47.87193,35.16061,339.99,0.77,0.77,2022-06-01,900,1,nominal,2.0NRT,292.73,11.09,D
1382,47.87696,35.15934,347.81,0.77,0.77,2022-06-01,900,1,nominal,2.0NRT,293.91,9.4,D
1383,48.97464,38.08608,327.35,0.54,0.68,2022-06-01,900,1,nominal,2.0NRT,290.81,5,D
1384,48.97239,38.07949,331.36,0.54,0.68,2022-06-01,900,1,nominal,2.0NRT,291.7,6.32,D
1387,49.04432,37.59322,346.18,0.56,0.69,2022-06-01,900,1,nominal,2.0NRT,285.3,5.56,D
1388,49.04199,37.58647,326.53,0.56,0.69,2022-06-01,900,1,nominal,2.0NRT,284.55,5.56,D
1396,50.06027,36.83415,341.4,0.55,0.68,2022-06-01,900,1,nominal,2.0NRT,288.87,4.14,D
1397,50.06533,36.83212,344.87,0.55,0.68,2022-06-01,900,1,nominal,2.0NRT,287.19,3.96,D
2087,46.50976,31.72534,345.02,0.38,0.36,2022-06-01,1041,1,nominal,2.0NRT,305.01,3.86,D
2088,46.51302,31.72426,340.41,0.38,0.36,2022-06-01,1041,1,nominal,2.0NRT,305.58,3.86,D
2089,46.51005,31.68368,356.01,0.38,0.36,2022-06-01,1041,1,nominal,2.0NRT,310.09,6.58,D
2090,46.50927,31.67874,350.54,0.38,0.36,2022-06-01,1041,1,nominal,2.0NRT,309.51,6.58,D
2091,46.83085,32.2081,353.8,0.38,0.36,2022-06-01,1041,1,nominal,2.0NRT,308.57,9.35,D
2092,47.04276,32.78314,336.45,0.39,0.36,2022-06-01,1041,1,nominal,2.0NRT,305.92,3.1,D
2093,47.04773,32.6766,338.31,0.39,0.36,2022-06-01,1041,1,nominal,2.0NRT,307.59,2.47,D
2094,47.051,32.67558,336.62,0.39,0.36,2022-06-01,1041,1,nominal,2.0NRT,307.74,1.45,D
2095,47.06522,32.53996,349.93,0.39,0.36,2022-06-01,1041,1,nominal,2.0NRT,308.68,6.21,D
2096,47.16701,33.09793,337.65,0.39,0.36,2022-06-01,1041,1,nominal,2.0NRT,306.01,4.03,D
2097,47.1703,33.09692,342.54,0.39,0.36,2022-06-01,1041,1,nominal,2.0NRT,308.45,4.03,D
2098,47.94387,37.64519,332.86,0.51,0.41,2022-06-01,1041,1,nominal,2.0NRT,296.68,1.4,D
2099,47.93668,37.50011,331.34,0.51,0.41,2022-06-01,1041,1,nominal,2.0NRT,299.74,2.3,D
2100,47.94045,37.49934,345.61,0.51,0.41,2022-06-01,1041,1,nominal,2.0NRT,299.28,4.89,D
2101,47.94017,37.49903,346.53,0.51,0.41,2022-06-01,1041,1,nominal,2.0NRT,299.62,7.74,D
2102,47.87041,33.44875,335.78,0.4,0.37,2022-06-01,1041,1,nominal,2.0NRT,301.41,1.66,D
2103,48.76529,37.98746,332.27,0.54,0.42,2022-06-01,1041,1,nominal,2.0NRT,299.69,4.73,D
2104,48.76915,37.98646,332.63,0.54,0.42,2022-06-01,1041,1,nominal,2.0NRT,300.36,5.25,D
2105,48.47166,34.63251,342.96,0.42,0.38,2022-06-01,1041,1,nominal,2.0NRT,308.59,5.24,D
2106,48.97225,38.08103,348.47,0.55,0.43,2022-06-01,1041,1,nominal,2.0NRT,300.67,12.59,D
2107,48.97157,38.07351,348.91,0.55,0.43,2022-06-01,1041,1,nominal,2.0NRT,297.15,5.95,D
2108,48.97088,38.06599,333.38,0.55,0.43,2022-06-01,1041,1,nominal,2.0NRT,294.88,5.95,D
2109,48.97616,38.08019,350.02,0.55,0.43,2022-06-01,1041,1,nominal,2.0NRT,297.67,10.05,D
2110,48.97547,38.07267,355.8,0.55,0.43,2022-06-01,1041,1,nominal,2.0NRT,300.46,13.12,D
2111,48.97478,38.06514,334.39,0.55,0.43,2022-06-01,1041,1,nominal,2.0NRT,294.81,13.12,D
2112,49.0418,37.5922,335.29,0.53,0.42,2022-06-01,1041,1,nominal,2.0NRT,294.69,11.81,D
2113,49.04493,37.58411,330.53,0.53,0.42,2022-06-01,1041,1,nominal,2.0NRT,292.67,4.92,D
2117,50.07575,36.79172,334.19,0.51,0.41,2022-06-01,1041,1,nominal,2.0NRT,300.73,5.53,D
2118,49.94964,35.27517,334.83,0.45,0.39,2022-06-01,1041,1,nominal,2.0NRT,301.39,3.18,D
2119,49.25341,30.13577,338.08,0.39,0.36,2022-06-01,1041,1,nominal,2.0NRT,299.84,2.4,D
2120,50.13441,36.42474,330.33,0.49,0.4,2022-06-01,1041,1,nominal,2.0NRT,299.6,3.15,D
2121,50.13883,36.43073,331.57,0.49,0.4,2022-06-01,1041,1,nominal,2.0NRT,301.14,3.15,D
2122,50.13811,36.42384,336.18,0.49,0.4,2022-06-01,1041,1,nominal,2.0NRT,299.81,3.15,D
2123,50.13741,36.41697,333.38,0.49,0.4,2022-06-01,1041,1,nominal,2.0NRT,300.22,4.36,D
2125,50.20333,36.83931,337.35,0.51,0.41,2022-06-01,1041,1,nominal,2.0NRT,295.57,15.3,D
