,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
50,48.47235,34.63187,305.04,0.44,0.39,2022-04-22,3,1,VIIRS,n,2.0NRT,273.67,1.41,N
78,47.85985,35.14795,296.58,0.47,0.4,2022-04-22,3,1,VIIRS,n,2.0NRT,274.05,0.71,N
79,47.86108,35.1419,296.23,0.47,0.4,2022-04-22,3,1,VIIRS,n,2.0NRT,275.68,1.05,N
80,47.86687,35.15109,301.39,0.47,0.4,2022-04-22,3,1,VIIRS,n,2.0NRT,277.22,1.15,N
81,47.87877,35.19069,321.49,0.47,0.4,2022-04-22,3,1,VIIRS,n,2.0NRT,274.59,2.58,N
82,48.51785,34.6275,295.53,0.44,0.39,2022-04-22,3,1,VIIRS,n,2.0NRT,271.06,1.2,N
83,48.53269,34.64674,320.58,0.44,0.39,2022-04-22,3,1,VIIRS,n,2.0NRT,275.74,1.88,N
84,48.53355,34.64167,314.19,0.44,0.39,2022-04-22,3,1,VIIRS,n,2.0NRT,274.88,2.27,N
27733,48.28804,38.09106,301.68,0.41,0.37,2022-04-22,2344,1,VIIRS,n,2.0NRT,276.53,0.65,N
27734,48.28471,38.08968,295.48,0.41,0.37,2022-04-22,2344,1,VIIRS,n,2.0NRT,277.81,0.65,N
27735,48.20847,37.72519,309.36,0.41,0.37,2022-04-22,2344,1,VIIRS,n,2.0NRT,275.83,1.41,N
27736,48.17398,37.69961,305.18,0.41,0.37,2022-04-22,2344,1,VIIRS,n,2.0NRT,277.94,1.36,N
27737,48.16638,37.70227,297.89,0.41,0.37,2022-04-22,2344,1,VIIRS,n,2.0NRT,277.16,0.79,N
27738,48.0588,37.95716,326.41,0.41,0.37,2022-04-22,2344,1,VIIRS,n,2.0NRT,279.96,3.26,N
27739,48.5334,34.65015,313.95,0.39,0.36,2022-04-22,2344,1,VIIRS,n,2.0NRT,280.38,1.84,N
27740,48.52472,34.61806,297.95,0.39,0.36,2022-04-22,2344,1,VIIRS,n,2.0NRT,276.96,0.71,N
27741,48.52393,34.6232,299,0.39,0.36,2022-04-22,2344,1,VIIRS,n,2.0NRT,276.14,0.96,N
27742,48.5191,34.63234,296.87,0.39,0.36,2022-04-22,2344,1,VIIRS,n,2.0NRT,276.97,0.55,N
27743,47.83258,38.4752,305.87,0.43,0.38,2022-04-22,2344,1,VIIRS,n,2.0NRT,278.95,1.49,N
27744,47.83152,38.48079,295.57,0.43,0.38,2022-04-22,2344,1,VIIRS,n,2.0NRT,276.79,0.72,N
27745,48.47436,34.63314,301,0.39,0.36,2022-04-22,2344,1,VIIRS,n,2.0NRT,278.92,0.88,N
27746,48.47189,34.62688,295.62,0.39,0.36,2022-04-22,2344,1,VIIRS,n,2.0NRT,275.99,0.88,N
27747,47.69495,37.48248,297.82,0.41,0.37,2022-04-22,2344,1,VIIRS,n,2.0NRT,276.14,0.94,N
27754,49.02233,37.93377,296.89,0.4,0.37,2022-04-22,2344,1,VIIRS,n,2.0NRT,271.34,1.22,N
27759,48.99984,38.38888,297.59,0.41,0.37,2022-04-22,2344,1,VIIRS,n,2.0NRT,275.09,0.34,N
27764,49.99627,36.45514,312.94,0.39,0.36,2022-04-22,2344,1,VIIRS,n,2.0NRT,275.48,0.9,N
27765,49.97944,36.5158,295.62,0.39,0.36,2022-04-22,2344,1,VIIRS,n,2.0NRT,276.12,0.51,N
27772,48.99682,38.38594,296.7,0.41,0.37,2022-04-22,2344,1,VIIRS,n,2.0NRT,275.51,0.76,N
27774,48.46148,38.77372,303.33,0.43,0.38,2022-04-22,2344,1,VIIRS,n,2.0NRT,271.42,0.87,N
27775,49.02001,37.92699,314.53,0.4,0.37,2022-04-22,2344,1,VIIRS,n,2.0NRT,272.28,0.97,N
27776,49.02135,37.93917,316.09,0.4,0.37,2022-04-22,2344,1,VIIRS,n,2.0NRT,272.03,1.22,N
27787,44.77279,33.86065,304,0.38,0.36,2022-04-22,2346,1,VIIRS,n,2.0NRT,278.08,1.18,N
