,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
11,48.74755,26.60583,309.85,0.44,0.38,2022-10-24,35,1,nominal,2.0NRT,280.5,1.16,N
14,45.30525,28.55413,337.15,0.4,0.44,2022-10-24,35,1,nominal,2.0NRT,279.77,9.07,N
15,45.30415,28.55899,332.56,0.4,0.44,2022-10-24,35,1,nominal,2.0NRT,285.3,10.55,N
16,45.30026,28.55722,329.88,0.4,0.44,2022-10-24,35,1,nominal,2.0NRT,281.66,2.09,N
17,45.30136,28.55235,318.53,0.4,0.44,2022-10-24,35,1,nominal,2.0NRT,280.48,1.71,N
18,45.29916,28.56208,304.72,0.4,0.44,2022-10-24,35,1,nominal,2.0NRT,277.94,2.09,N
19,45.29748,28.55058,297.07,0.4,0.44,2022-10-24,35,1,nominal,2.0NRT,278.31,1.71,N
20,45.29637,28.55545,308.28,0.4,0.44,2022-10-24,35,1,nominal,2.0NRT,282.14,2.09,N
3809,47.8664,33.43493,329.35,0.41,0.37,2022-10-24,1019,1,nominal,2.0NRT,290.88,3.65,D
3810,48.52975,34.64808,325.83,0.39,0.36,2022-10-24,1019,1,nominal,2.0NRT,292.08,4.09,D
3811,48.53301,34.64684,328.31,0.39,0.36,2022-10-24,1019,1,nominal,2.0NRT,286.99,2.29,D
4201,45.2895,28.55802,367,0.56,0.69,2022-10-24,1200,1,high,2.0NRT,290.27,19.01,D
4202,45.29098,28.5564,367,0.56,0.69,2022-10-24,1200,1,high,2.0NRT,292.57,19.81,D
4203,45.29749,28.57099,367,0.56,0.69,2022-10-24,1200,1,high,2.0NRT,292.05,45.63,D
4204,45.29742,28.56367,343.67,0.56,0.69,2022-10-24,1200,1,nominal,2.0NRT,298.45,35.03,D
4205,45.29736,28.55635,325.26,0.56,0.69,2022-10-24,1200,1,nominal,2.0NRT,291.96,35.03,D
4206,45.30381,28.5636,340.13,0.56,0.69,2022-10-24,1200,1,nominal,2.0NRT,298.96,35.03,D
4207,45.30387,28.57093,356.24,0.56,0.69,2022-10-24,1200,1,low,2.0NRT,288.9,45.63,D
7116,48.22408,38.24553,306.51,0.54,0.51,2022-10-25,13,1,nominal,2.0NRT,269.48,1.36,N
7117,48.53595,34.65698,298.18,0.57,0.43,2022-10-25,16,1,nominal,2.0NRT,276.88,8.12,N
7118,48.53383,34.64762,339.59,0.57,0.43,2022-10-25,16,1,nominal,2.0NRT,283.93,8.12,N
7119,48.53216,34.65499,310.63,0.57,0.43,2022-10-25,16,1,nominal,2.0NRT,282.39,8.12,N
7120,48.53004,34.64562,310.12,0.57,0.43,2022-10-25,16,1,nominal,2.0NRT,280.34,2.28,N
7121,48.52838,34.653,307.06,0.57,0.43,2022-10-25,16,1,nominal,2.0NRT,281.13,2.28,N
7122,47.87548,33.42061,327.92,0.53,0.42,2022-10-25,16,1,nominal,2.0NRT,282.23,2.65,N
7123,47.87696,33.41383,296.04,0.53,0.42,2022-10-25,16,1,nominal,2.0NRT,280.92,2.65,N
7124,47.86883,33.43242,299.38,0.53,0.42,2022-10-25,16,1,nominal,2.0NRT,281.19,1.03,N
7128,44.77256,33.86039,301.39,0.43,0.46,2022-10-25,16,1,nominal,2.0NRT,278.58,1.09,N
7129,45.32286,28.56125,330.33,0.41,0.37,2022-10-25,16,1,nominal,2.0NRT,291.06,5.56,N
7130,45.32193,28.56638,339.58,0.41,0.37,2022-10-25,16,1,nominal,2.0NRT,285,5.56,N
7131,45.3186,28.56516,337.5,0.41,0.37,2022-10-25,16,1,nominal,2.0NRT,289.98,5.56,N
7132,45.31953,28.56003,305.26,0.41,0.37,2022-10-25,16,1,nominal,2.0NRT,282.67,5.56,N
7134,45.31007,28.57298,320.91,0.41,0.37,2022-10-25,16,1,nominal,2.0NRT,280.99,1.32,N
7135,45.311,28.56785,304.31,0.41,0.37,2022-10-25,16,1,nominal,2.0NRT,280.6,1.32,N
7136,45.30767,28.56663,305.22,0.41,0.37,2022-10-25,16,1,nominal,2.0NRT,279.44,0.9,N
7137,45.29432,28.56177,327.25,0.41,0.37,2022-10-25,16,1,nominal,2.0NRT,282.52,7.56,N
7138,45.29339,28.56689,322.83,0.41,0.37,2022-10-25,16,1,nominal,2.0NRT,282.9,7.56,N
7139,45.29284,28.55031,305.61,0.41,0.37,2022-10-25,16,1,nominal,2.0NRT,282.08,1.37,N
